par_pctile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
34,4,Highly selective private,39200,59100,.6695428605192354,.028571429,.14464286,.27321428,.46607143,.20714286,.10892857,.1,.11785714,.10892858,.51607144,52400,57500,560,134098,.0041760504
34,5,Selective public,39100,43000,.5876458763226328,.0087045571,.0578597,.12215639,.26186818,.27876526,.20452051,.14395435,.11089166,.099700101,.50779021,37800,41000,13671,1944082,.0070321108
34,6,Selective private,39200,47300,.5979480497126962,.013051584,.069919206,.14294593,.29272839,.25419515,.1995028,.1457427,.10783095,.09664388,.54070854,38800,42100,3218,486852,.0066098114
34,7,Nonselective four-year public,39100,32900,.5069291171131052,.0039855074,.023550725,.062681161,.15434782,.24673912,.24927537,.19130436,.15833333,.14311594,.4286232,29300,33600,2760,257854,.010703731
34,8,Nonselective four-year private not-for-profit,39200,35400,.5267197680429933,.0064239828,.040685225,.081370451,.19057816,.25481799,.22269806,.17558888,.15631692,.13918629,.48822269,30800,35100,467,55947,.0083471853
34,9,Two-year (public and private not-for-profit),39100,31100,.4979733386952779,.0020299417,.022989089,.056533873,.14909922,.23080437,.24947983,.20867801,.16193859,.14524232,.4294849,27700,32100,19705,2021451,.0097479485
34,10,Four-year for-profit,39100,31900,.5078849974578724,.0026075619,.020208605,.063233376,.16818775,.22881356,.23794003,.21773142,.14732724,.13102999,.34485006,27700,32400,1534,126025,.012172188
34,11,Two-year for-profit,39000,34000,.5337366154743906,0,.021611001,.074656188,.17681728,.28290766,.20628683,.18467584,.14931238,.13163064,.37131631,31800,36300,509,42313,.0120294
34,12,Less than two-year schools of any type,39000,26900,.4586461084766463,0,.025641026,.05982906,.07692308,.23076923,.24786325,.2820513,.16239317,.15384616,.40170941,24200,28200,117,10121,.011560122
34,13,Attending college with insufficient data,39300,30700,.4887842579125782,.0026275255,.023738334,.057443146,.14406089,.21174233,.25550422,.22777928,.16091329,.14478572,.40210202,26100,30600,11037,942344,.011712284
34,14.1,Late attender (ages 23-28),39100,21800,.4073533828687007,.00072244846,.0087350588,.023512414,.068632603,.15729673,.24793117,.31347695,.21266255,.18685144,.32411665,17000,22400,15226,1239448,.012284501
34,14.2,Never attended college (before year 2013),39200,18700,.3576046250822595,.00091868266,.0076835281,.021992706,.061161995,.13604856,.20656441,.24462014,.35160491,.32810891,.29133376,12100,23500,35921,2866578,.012530969
35,1,Ivy Plus,40300,126000,.7302325040838151,.13978495,.34408602,.45698926,.59677422,.10215054,.11827957,.086021505,.096774198,.096774198,.48924729,69100,74400,186,52724,.0035278052
35,2,Other elite schools (public and private),40300,74500,.7189686447501502,.063583814,.24132948,.38294798,.52890176,.1950867,.10982659,.078034684,.088150293,.078034684,.48410404,59700,65100,692,183973,.0037614214
35,3,Highly selective public,40300,59800,.6661847575178996,.028182702,.13216715,.24975705,.42225462,.24344024,.14431487,.088435374,.10155491,.093294457,.52623904,48000,52300,2058,393548,.0052293492
35,4,Highly selective private,40300,60800,.6663889220702839,.03150912,.15091211,.27363184,.45605308,.20729685,.11608624,.10945274,.11111111,.10281923,.53731346,51800,56600,603,134098,.0044967113
35,5,Selective public,40300,43600,.5877459525119524,.0094502959,.060236618,.12797576,.26886451,.2710287,.19881691,.14564998,.11563988,.10510749,.50714183,37700,41300,13862,1944082,.0071303579
35,6,Selective private,40300,45100,.5974994586095708,.011195159,.07140696,.14372163,.28472012,.2774584,.18698941,.13615733,.11467473,.10166414,.53888047,39100,42300,3305,486852,.0067885108
35,7,Nonselective four-year public,40300,31900,.5063475000205988,.0018925057,.024981074,.065480702,.16275549,.23694171,.24186224,.20325512,.15518546,.13701741,.45041636,28300,33300,2642,257854,.010246108
35,8,Nonselective four-year private not-for-profit,40300,32200,.488856510790973,.012285013,.034398034,.066339068,.14742015,.23095822,.21130221,.21867321,.19164619,.16707617,.52579856,28000,33200,407,55947,.0072747422
35,9,Two-year (public and private not-for-profit),40300,31500,.5010164024540755,.002062063,.023738872,.061358951,.15732032,.22843635,.24528491,.20841925,.16053915,.14449529,.43705678,27600,32400,19883,2021451,.0098360041
35,10,Four-year for-profit,40200,32100,.5080661890408675,.0032278891,.024531957,.068431251,.15945771,.22659782,.25306651,.21304068,.14783731,.13621691,.35119432,28200,32100,1549,126025,.012291212
35,11,Two-year for-profit,40300,31300,.5096245225568262,0,.017278617,.06263499,.15766738,.21814255,.29805616,.17710583,.14902808,.13174945,.3736501,28300,32200,463,42313,.010942264
35,12,Less than two-year schools of any type,40200,22100,.4064819749479944,0,.0078125,.0078125,.0625,.1640625,.2890625,.2421875,.2421875,.2265625,.36718753,20600,25800,128,10121,.012646971
35,13,Attending college with insufficient data,40400,30400,.4852842782436409,.003576013,.022373006,.056666054,.13909774,.21483587,.25518063,.22217128,.16871446,.15120117,.40739042,26000,30700,10906,942344,.011573268
35,14.1,Late attender (ages 23-28),40300,22100,.408849832095708,.00084596867,.0086549101,.025834581,.070996292,.16112448,.24448495,.3089087,.21448559,.18904145,.33181491,17200,22600,15367,1239448,.012398262
35,14.2,Never attended college (before year 2013),40300,19100,.3593021378107622,.00090082479,.0072065988,.021113081,.062551022,.13492666,.20752752,.24857135,.34642345,.32429692,.29654026,12300,23500,35523,2866578,.012392128
36,1,Ivy Plus,41400,129000,.7747361539199846,.14556962,.37341774,.51265824,.65822786,.13291138,.050632913,.094936706,.06329114,.050632913,.55696207,77500,81900,158,52724,.0029967378
36,2,Other elite schools (public and private),41500,70400,.6964635299318359,.060927153,.21324503,.33774835,.50728476,.20529802,.10066225,.078145698,.10860927,.10463576,.48874173,56500,62500,755,183973,.0041038631
36,3,Highly selective public,41500,56400,.6541027415128768,.023506366,.13516161,.23653281,.39715964,.23996082,.16356513,.10822723,.09108717,.083741434,.52987272,46000,49600,2042,393548,.0051886938
